Character,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Degree
Maomao,1.0,0.6851851851851852,1.0,0.547028979552154,10
Jinshi,0.6000000000000001,0.1,0.7142857142857143,0.41870247335792377,6
Gyokuyou,0.4,0.007407407407407408,0.625,0.35284724402356843,4
Emperor,0.4,0.007407407407407408,0.625,0.35284724402356843,4
Lihua,0.30000000000000004,0.0,0.5882352941176471,0.2770238423396986,3
Xiaolan,0.2,0.0,0.5555555555555556,0.15531594229250592,2
Lihaku,0.2,0.0,0.5555555555555556,0.21355980517672304,2
Lakan,0.2,0.0,0.5555555555555556,0.21355980517672304,2
Loulan,0.2,0.0,0.5555555555555556,0.21355980517672304,2
Shisui,0.2,0.0,0.5555555555555556,0.15531594229250592,2
"Loulan, Shisui",0.1,0.0,0.5263157894736842,0.12096906570525738,1
