Character,Closures_Driven,Total_Interactions,Normalized_Score,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
Emperor,1,6,0.16666666666666666,0.4444444444444444,0.041666666666666664,0.6428571428571429
Maomao,7,78,0.08974358974358974,0.8888888888888888,0.5555555555555556,0.9
Jinshi,0,44,0.0,0.6666666666666666,0.29166666666666663,0.75
Xiaolan,0,17,0.0,0.2222222222222222,0.0,0.5294117647058824
Gyokuyou,0,15,0.0,0.3333333333333333,0.0,0.6
Shisui,0,18,0.0,0.2222222222222222,0.0,0.5294117647058824
Lihua,0,2,0.0,0.2222222222222222,0.0,0.5294117647058824
Lihaku,0,5,0.0,0.2222222222222222,0.0,0.5625
"Loulan, Shisui",0,6,0.0,0.2222222222222222,0.0,0.5625
Lakan,0,3,0.0,0.1111111111111111,0.0,0.45
